model,scenario,region,sector,product_category,product_long,product_short,flow_category,flow_long,flow_short,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PD22,baseline,russia,Agriculture,Emissions,Agroforestry,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2735364363792394,0.5444547957036159,0.8124451652760265,1.0771611623043134,1.338215696284215,1.5951762525949928,1.8475596466422228,2.0948261933989265,2.3363732325508955,2.5715279447132806,2.799539389447089,3.0195696911961774,3.230684294959373,3.4318412097329176,3.6218791547959537,3.7995045221335806,3.963277068160768,4.111594249999508,4.242674126575039,4.354536753588254,4.444984015013223,4.511577853369339,4.551616888032678,4.562111446887873,4.562111446887873,4.562111446887873,4.562111446887873,4.562111446887873,4.562111446887873,4.562111446887873
PD22,baseline,russia,Agriculture,Emissions,Biochar,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,russia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,CH4,AFOLU,Mt,0.0,0.01437095,0.0287419,0.0291503,0.0256349,0.0252386,0.0258327,0.0284312,0.0230027,0.0230411,0.025249,0.0261323,0.0281055,0.023598,0.0272892,0.0290063,0.0277467,0.0291136,0.0330697,0.0320569,0.0264373,0.0314571,0.028496,0.0317908,0.0331295,0.0354445,0.0372984,0.037291,0.0352716,0.0368133,0.035462709090909,0.0341121181818181,0.0327615272727272,0.0314109363636363,0.0300603454545454,0.0287097545454545,0.0273591636363636,0.0260085727272727,0.0246579818181818,0.0233073909090909,0.0219568,0.021919485,0.02188217,0.021844855,0.02180754,0.021770225,0.02173291,0.021695595,0.02165828,0.021620965,0.02158365,0.021546335,0.02150902,0.021471705,0.02143439,0.021397075,0.02135976,0.021322445,0.02128513,0.021247815,0.0212105
PD22,baseline,russia,Agriculture,Emissions,Burning - Crop residues,EM,Emissions,N2O,AFOLU,Mt,0.0,0.0003726,0.0007452,0.0007557,0.0006646,0.0006543,0.0006697,0.0007371,0.0005964,0.0005974,0.0006546,0.0006775,0.0007287,0.0006118,0.0007075,0.000752,0.0007194,0.0007548,0.0008574,0.0008311,0.0006854,0.0008156,0.0007388,0.0008242,0.0008589,0.0009189,0.000967,0.0009668,0.0009144,0.0009544,0.0009193909090909,0.0008843818181818,0.0008493727272727,0.0008143636363636,0.0007793545454545,0.0007443454545454,0.0007093363636363,0.0006743272727272,0.0006393181818181,0.000604309090909,0.0005693,0.00056833,0.00056736,0.00056639,0.00056542,0.00056445,0.00056348,0.00056251,0.00056154,0.00056057,0.0005596,0.00055863,0.00055766,0.00055669,0.00055572,0.00055475,0.00055378,0.00055281,0.00055184,0.00055087,0.0005499
PD22,baseline,russia,Agriculture,Emissions,Crop Residues,EM,Emissions,N2O,AFOLU,Mt,0.0,0.0144327,0.0288654,0.0273625,0.0232007,0.0195057,0.0203877999999999,0.0242569,0.0148516,0.0162971,0.0185821,0.0229990999999999,0.0233657,0.0185061,0.0211098,0.0212747,0.0211418,0.0217598,0.027657,0.0254344,0.0169882,0.0244389,0.0190596,0.0236652,0.0269899,0.0269362,0.0297621,0.0329425,0.0285277,0.0302495,0.0298439,0.0294383,0.0290327,0.0286271,0.0282215,0.0278159,0.0274103,0.0270047,0.0265991,0.0261935,0.0257879,0.02584266,0.02589742,0.02595218,0.02600694,0.0260617,0.02611646,0.02617122,0.02622598,0.02628074,0.0263355,0.02639026,0.02644502,0.02649978,0.02655454,0.0266093,0.02666406,0.02671882,0.02677358,0.02682834,0.0268831
PD22,baseline,russia,Agriculture,Emissions,Cropland Soil Health,EM,Emissions,CO2,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0856740635923316,0.1705400912352519,0.2545024918331533,0.3374544402023376,0.4192765754871288,0.4998355534631387,0.5789824375082818,0.6565509117401899,0.7323552985108949,0.8061883611420021,0.8778188715118819,0.9469889209181074,1.0134109515953431,1.0767644854513487,1.136692526093024,1.1927976101782136,1.244637484705508,1.291720388237842,1.333499916481814,1.3693694563955805,1.3986561784073366,1.420614583781746,1.4344196141166925,1.4436679474500258,1.4482921141166925,1.4482921141166925,1.4482921141166925,1.4482921141166925,1.4482921141166925,1.4482921141166925
PD22,baseline,russia,Agriculture,Emissions,Enteric Fermentation,EM,Emissions,CH4,AFOLU,Mt,0.0,2.26681215,4.5336243000000005,4.3406624,4.0621568,3.6037703,3.2759178,2.9002662,2.6027385,2.3693046,2.3222339,2.2676452,2.2471623,2.1964426,2.0665438,1.9235747,1.8231069,1.8282884,1.8307,1.7960272,1.7624745000000002,1.7110432000000002,1.7250741,1.7152858000000002,1.6877894,1.665143,1.6207638,1.5999097,1.5833705,1.5645634,1.6073690272727272,1.6501746545454543,1.6929802818181818,1.7357859090909091,1.7785915363636362,1.821397163636364,1.8642027909090908,1.907008418181818,1.9498140454545452,1.9926196727272727,2.0354253,2.03648528,2.03754526,2.03860524,2.03966522,2.0407252,2.04178518,2.04284516,2.04390514,2.04496512,2.0460251,2.04708508,2.04814506,2.04920504,2.05026502,2.051325,2.05238498,2.05344496,2.05450494,2.05556492,2.0566249
PD22,baseline,russia,Agriculture,Emissions,Improved Rice,EM,Emissions,CH4,AFOLU,Mt,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
PD22,baseline,russia,Agriculture,Emissions,Manure Management,EM,Emissions,CH4,AFOLU,Mt,0.0,0.315099,0.630198,0.5979212,0.5609935,0.5009027,0.4578468,0.4064178,0.3756448,0.3507479,0.3450452,0.3312296,0.3301703,0.327484,0.3151569999999999,0.2879141,0.2812707,0.2836143,0.2853005999999999,0.2830670999999999,0.2863534,0.2828795,0.2866929,0.2926495,0.290337,0.2934703,0.2850179,0.2849589,0.2871992,0.2862615,0.2893739272727272,0.2924863545454546,0.2955987818181818,0.2987112090909091,0.3018236363636363,0.3049360636363636,0.3080484909090909,0.3111609181818182,0.3142733454545454,0.3173857727272727,0.3204982,0.32067385,0.3208495,0.32102515,0.3212008,0.32137645,0.3215521,0.32172775,0.3219034,0.32207905,0.3222547,0.32243035,0.322606,0.32278165,0.3229573,0.32313295,0.3233086,0.32348425,0.3236599,0.3238355499999999,0.3240112
PD22,baseline,russia,Agriculture,Emissions,Manure Management,EM,Emissions,N2O,AFOLU,Mt,0.0,0.01953245,0.0390649,0.0372231,0.0346785,0.030712,0.0279315,0.0246504,0.0222767,0.0205484,0.0203175999999999,0.0196112,0.0195416,0.019338,0.0182186999999999,0.0168276,0.0161273,0.0163776,0.0164309,0.0161909,0.0161603,0.0158247,0.0159954,0.0161521,0.0159749,0.0159579,0.015898,0.0158271,0.0158686,0.0157868,0.0160894909090909,0.0163921818181818,0.0166948727272727,0.0169975636363636,0.0173002545454545,0.0176029454545454,0.0179056363636363,0.0182083272727272,0.0185110181818181,0.018813709090909,0.0191164,0.019129765,0.0191431299999999,0.019156495,0.01916986,0.0191832249999999,0.01919659,0.019209955,0.01922332,0.019236685,0.0192500499999999,0.019263415,0.01927678,0.0192901449999999,0.01930351,0.019316875,0.01933024,0.019343605,0.01935697,0.019370335,0.0193837
